公司代號,公司名稱,營利事業統一編號
3029,零壹科技股份有限公司,30922431
3030,德律科技股份有限公司,23292535
3031,佰鴻工業股份有限公司,34452164
3032,偉訓科技股份有限公司,69577160
3033,威健實業股份有限公司,4648938
3034,聯詠科技股份有限公司,84149955
3035,智原科技股份有限公司,84149060
3036,文曄科技股份有限公司,84498860
3037,欣興電子股份有限公司,23535435
3038,全台晶像股份有限公司,89261652
3040,遠見科技股份有限公司,22050221
3041,揚智科技股份有限公司,84149054
3042,台灣晶技股份有限公司,21204867
3043,科風股份有限公司,22485794
3044,健鼎科技股份有限公司,86379707
3045,台灣大哥大股份有限公司,97176270
3046,建碁股份有限公司,97306457
3047,訊舟科技股份有限公司,22164580
3048,益登科技股份有限公司,97099302
3049,和鑫光電股份有限公司,70750217
3050,鈺德科技股份有限公司,84785413
3051,力特光電科技股份有限公司,16439169
3052,夆典科技開發股份有限公司,20730758
3054,立萬利創新股份有限公司,86143822
3055,蔚華科技股份有限公司,22729784
3056,總太地產開發股份有限公司,16264908
3057,喬鼎資訊股份有限公司,22099738
3058,立德電子股份有限公司,38019280
3059,華晶科技股份有限公司,97307625
3060,銘異科技股份有限公司,30897480
3062,建漢科技股份有限公司,16594892
3090,日電貿股份有限公司,84116878
3094,聯傑國際股份有限公司,84149759
3130,一零四資訊科技股份有限公司,84598349
3149,正達國際光電股份有限公司,97049373
3164,景岳生物科技股份有限公司,12715847
3167,大量科技股份有限公司,43938484
3189,景碩科技股份有限公司,70785139
3209,全科科技股份有限公司,86027892
3229,晟鈦股份有限公司,22570840
3231,緯創資通股份有限公司,12868358
3257,虹冠電子工業股份有限公司,16130417
3266,昇陽建設企業股份有限公司,84141187
3296,勝德國際研發股份有限公司,12702977
3305,昇貿科技股份有限公司,4789211
3308,聯德電子股份有限公司,22749711
3311,閎暉實業股份有限公司,12956063
3312,弘憶國際股份有限公司,89613636
3321,同泰電子科技股份有限公司,23983947
3338,泰碩電子股份有限公司,89858152
3346,麗清科技股份有限公司,16992625
3356,奇偶科技股份有限公司,16302558
3376,新日興股份有限公司,35424073
3380,明泰科技股份有限公司,12800392
3383,新世紀光電股份有限公司,12979925
3406,玉晶光電股份有限公司,23572557
3413,京鼎精密科技股份有限公司,12858252
3416,融程電訊股份有限公司,96930209
3419,譁裕實業股份有限公司,47250470
3432,台端興業股份有限公司,22928881
3437,榮創能源科技股份有限公司,70634323
3443,創意電子股份有限公司,16299879
3450,聯鈞光電股份有限公司,12624467
3454,晶睿通訊股份有限公司,70703897
3481,群創光電股份有限公司,12800225
3494,誠研科技股份有限公司,70801588
3501,維熹科技股份有限公司,80272361
3504,揚明光學股份有限公司,12800061
3515,華擎科技股份有限公司,80333613
3518,柏騰科技股份有限公司,89732154
3528,安馳科技股份有限公司,12676056
3530,晶相光電股份有限公司,27298412
3532,台塑勝高科技股份有限公司,89406518
3533,嘉澤端子工業股份有限公司,22244141
3535,晶彩科技股份有限公司,70720798
3536,誠創科技股份有限公司,70734477
3545,敦泰電子股份有限公司,28069900
3550,聯穎科技股份有限公司,22488639
3557,嘉威光電股份有限公司,27717512
3563,牧德科技股份有限公司,16522758
3576,聯合再生能源股份有限公司,27763753
3579,尚志半導體股份有限公司,89487188
3583,辛耘企業股份有限公司,30901647
3588,通嘉科技股份有限公司,80254357
3591,艾笛森光電股份有限公司,12907747
3593,力銘科技股份有限公司,80617029
3596,智易科技股份有限公司,12800294
3605,宏致電子股份有限公司,97257738
3607,谷崧精密工業股份有限公司,23414349
3617,碩天科技股份有限公司,97474067
